construct,well,production_date,dna_transfection_micrograms,dna_preparation_concentration,positions,,,,
-,-,-,-,-,-,,,,
none,A01,P01-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot17115,A02,P01-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot18360,A03,P01-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot18564,A04,P01-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot18599,A05,P01-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,A06,P01-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,A07,P01-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot18655,A08,P01-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot18902,A09,P01-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot19038,A10,P01-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot19199,A11,P01-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,A12,P01-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,B01,P01-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot17171,B02,P01-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot18424,B03,P01-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot18572,B04,P01-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot18631,B05,P01-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,B06,P01-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,B07,P01-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot18703,B08,P01-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot18856,B09,P01-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot19054,B10,P01-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot19154,B11,P01-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,B12,P01-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,C01,P02-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot17183,C02,P02-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot18476,C03,P02-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot18549,C04,P02-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot18560,C05,P02-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,C06,P02-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,C07,P02-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot18761,C08,P02-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot18939,C09,P02-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot19087,C10,P02-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot19194,C11,P02-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,C12,P02-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,D01,P02-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot17136,D02,P02-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot18477,D03,P02-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot18621,D04,P02-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot18616,D05,P02-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,D06,P02-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,D07,P02-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot18817,D08,P02-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot18942,D09,P02-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot19106,D10,P02-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot19276,D11,P02-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,D12,P02-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,E01,P03-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot18419,E02,P03-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot18501,E03,P03-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot18566,E04,P03-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot18609,E05,P03-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,E06,P03-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,E07,P03-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot18746,E08,P03-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot18992,E09,P03-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot19148,E10,P03-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot19269,E11,P03-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,E12,P03-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,F01,P03-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot18428,F02,P03-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot18517,F03,P03-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot18598,F04,P03-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot18562,F05,P03-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,F06,P03-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,F07,P03-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot18770,F08,P03-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot18953,F09,P03-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot19180,F10,P03-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot19277,F11,P03-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,F12,P03-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,G01,P04-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot18373,G02,P04-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot18455,G03,P04-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot18614,G04,P04-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot18717,G05,P04-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,G06,P04-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,G07,P04-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot18852,G08,P04-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot18938,G09,P04-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot19150,G10,P04-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot19293,G11,P04-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,G12,P04-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,H01,P04-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot18382,H02,P04-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot18480,H03,P04-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot18551,H04,P04-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot18710,H05,P04-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,H06,P04-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,H07,P04-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot18894,H08,P04-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot19099,H09,P04-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot19151,H10,P04-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot19246,H11,P04-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,H12,P04-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,A01,P05-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot19270,A02,P05-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot5554,A03,P05-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot5738,A04,P05-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot6087,A05,P05-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,A06,P05-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,A07,P05-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot16736,A08,P05-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot16833,A09,P05-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot16911,A10,P05-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot3011,A11,P05-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,A12,P05-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
